customer_id,customer_name,city,state,country,customer_type,registration_date
CUST00001,Aarav Sharma,Hyderabad,Telangana,India,Retail,2024-03-21
CUST00002,Vihaan Sharma,Mumbai,Maharashtra,India,Business,2025-11-27
CUST00003,Aditya Sharma,Bengaluru,Karnataka,India,Enterprise,2025-08-12
CUST00004,Arjun Sharma,Chennai,Tamil Nadu,India,Retail,2025-01-29
CUST00005,Rohan Sharma,New Delhi,Delhi,India,Business,2025-01-24
CUST00006,Rahul Sharma,Ahmedabad,Gujarat,India,Enterprise,2026-02-11
CUST00007,Kiran Sharma,Kolkata,West Bengal,India,Retail,2024-03-18
CUST00008,Ananya Sharma,,Rajasthan,India,Business,2025-09-19
CUST00009,Diya Sharma,Lucknow,Uttar Pradesh,India,Enterprise,2024-06-30
CUST00010,Ishita Sharma,Kochi,Kerala,India,Retail,2024-03-25
CUST00011,Priya Sharma,Hyderabad,Telangana,India,Business,2025-04-18
CUST00012,Neha Sharma,Mumbai,Maharashtra,India,Enterprise,2026-05-28
CUST00013,Sneha Sharma,Bengaluru,Karnataka,India,Retail,2025-10-24
CUST00014,Meera Sharma,Chennai,Tamil Nadu,India,Business,2025-11-16
CUST00015,Kavya Sharma,New Delhi,Delhi,India,Enterprise,2025-10-07
CUST00016,Aarav Reddy,Ahmedabad,Gujarat,India,Retail,2025-12-08
CUST00017,Vihaan Reddy,Kolkata,West Bengal,India,Business,2025-04-06
CUST00018,Aditya Reddy,Jaipur,Rajasthan,India,Enterprise,2024-04-25
CUST00019,Arjun Reddy,Lucknow,Uttar Pradesh,India,Retail,2026-01-25
CUST00020,Rohan Reddy,Kochi,Kerala,India,Business,2025-02-09
CUST00021,Rahul Reddy,Hyderabad,Telangana,India,Enterprise,2025-03-26
CUST00022,Kiran Reddy,Mumbai,Maharashtra,India,Retail,2024-11-29
CUST00023,Ananya Reddy,Bengaluru,Karnataka,India,Business,2024-06-13
CUST00024,Diya Reddy,Chennai,Tamil Nadu,India,Enterprise,2026-04-14
CUST00025,Ishita Reddy,New Delhi,Delhi,India,Retail,2025-12-04
CUST00026,Priya Reddy,Ahmedabad,Gujarat,India,Business,2025-08-02
CUST00027,Neha Reddy,Kolkata,West Bengal,India,Enterprise,2024-12-28
CUST00028,Sneha Reddy,Jaipur,Rajasthan,India,Retail,2026-01-10
CUST00029,Meera Reddy,Lucknow,Uttar Pradesh,India,Business,2025-05-05
CUST00030,Kavya Reddy,Kochi,Kerala,India,Enterprise,2025-02-03
CUST00031,Aarav Patel,Hyderabad,Telangana,India,Retail,2025-02-09
CUST00032,Vihaan Patel,Mumbai,Maharashtra,India,Business,2024-07-23
CUST00033,Aditya Patel,Bengaluru,Karnataka,India,Enterprise,2024-03-23
CUST00034,Arjun Patel,Chennai,Tamil Nadu,India,Retail,2025-05-14
CUST00035,Rohan Patel,New Delhi,Delhi,India,Business,2026-03-10
CUST00036,Rahul Patel,Ahmedabad,Gujarat,India,Enterprise,2024-02-27
CUST00037,Kiran Patel,Kolkata,West Bengal,India,Retail,2026-02-11
CUST00038,Ananya Patel,Jaipur,Rajasthan,India,Business,2026-01-14
CUST00039,Diya Patel,Lucknow,Uttar Pradesh,India,Enterprise,2024-09-06
CUST00040,Ishita Patel,Kochi,Kerala,India,Retail,2025-07-22
CUST00041,Priya Patel,Hyderabad,Telangana,India,Business,2024-05-28
CUST00042,Neha Patel,Mumbai,Maharashtra,India,Enterprise,2025-11-13
CUST00043,Sneha Patel,Bengaluru,Karnataka,India,Retail,2025-09-22
CUST00044,Meera Patel,Chennai,Tamil Nadu,India,Business,2024-11-15
